,NoDur,Durbl,Manuf,Enrgy,HiTec,Telcm,Shops,Hlth ,Utils,Other
198401,131913.01,100470.87,286823.84,201064.9,212494.96,78871.2,121576,91654.25,119565.1,308836.06
198402,129106.22,94960.88,275236.28,210242.56,199151.64,82046.58,114194.17,90948,120593,303100.64
198403,120768.57,88710.99,255144,216163.5,186510.4,78930.2,108675.84,88705.5,115356.6,286726.08
198404,122118.59,88756.5,262512.28,216372.56,189508.9,73525.44,109590.15,87952.8,114142.5,292266.3
198405,122155.3,89784.66,261983.41,224817.12,188565.36,75104.91,109651.36,89681.28,113097.5,285163.07
198406,118726.02,84207.48,244846.86,197057.38,177112.32,71251.38,103105.78,83343.36,110868.8,264051.3
198407,124399.17,90222.34,263646.5,193804.38,194770.8,107305.2,120140.44,90579.06,117286.4,316066.95
198408,121728.75,92441.31,258910.32,178848.75,190166.84,110379.38,120050.77,86933.55,116561.25,306145.52
198409,130772.8,101100.72,288112.48,201433.96,215702.74,118189.06,129805.2,95300.25,124024.2,338010.48
198410,131799.2,100662.59,280265.4,199839.6,204471.15,121399.56,128956.4,91056,129083.72,342085.41
198411,132743.2,102711.68,276234.24,189812,200867.04,116967.2,126458,92393.64,132414.7,342760.5
198412,131598.63,98707.02,270723.6,185223.78,193015.68,117434.4,121614.24,91388,135173.38,340208.19
198501,131443.74,103125.84,275888.36,183533.28,197058.4,122126.4,121511.16,93522.1,137672.1,349338.14
198502,137331.12,113100.78,296129.12,194621.8,221471.25,128363.94,137351.39,100890.9,140139.78,382607.32
198503,143738.01,109976.76,297056.7,200493.32,217632.36,132596.1,139227.18,103959.12,140883.84,389381.26
198504,149991.48,104136.72,288314.4,203306.4,204237.81,137068.62,137768.62,106993.18,148312.32,386444.76
198505,145968.46,99297.6,282252.6,210726.4,196580.4,135708.65,137185.08,105030.1,147620.08,390237.21
198506,156947.4,104114.55,297715.68,191499.84,201080.79,146950.65,149398.72,113777.73,154347.1,412496.4
