Date,NoDur,Durbl,Manuf,Enrgy,HiTec,Telcm,Shops,Hlth ,Utils,Other
193810,1.038461538,2.418461538,1.966153846,0.137692308,1.571538462,0.463076923,1.773846154,2.075384615,1.145384615,0.898461538
193811,1.701538462,3.753846154,3.113076923,1.394615385,2.161538462,0.936923077,2.957692308,2.534615385,1.226153846,1.911538462
193812,1.728461538,4.364615385,2.582307692,1.006923077,1.753846154,1.194615385,3.22,2.646153846,2.141538462,1.756153846
193901,1.69,4.057692308,2.908461538,0.876923077,2.156153846,1.653076923,3.241538462,2.661538462,3.255384615,2.08
193902,0.981538462,2.434615385,1.043846154,-0.486923077,0.669230769,1.661538462,1.773076923,1.666153846,1.926923077,0.554615385
193903,2.243846154,4.593846154,2.920769231,1.37,2.593076923,3.214615385,3.47,2.853846154,3.668461538,2.701538462
193904,1.720769231,4.058461538,2.439230769,0.341538462,1.940769231,2.606153846,3.100769231,2.366923077,3.04,2.2
193905,1.581538462,4.069230769,2.478461538,0.318461538,1.555384615,2.250769231,3.19,2.32,2.596923077,1.918461538
193906,1.044615385,2.651538462,0.940769231,-1.139230769,0.535384615,1.796153846,2.011538462,1.782307692,2.274615385,0.897692308
193907,-0.03,0.587692308,-0.104615385,-2.007692308,-0.536923077,1.375384615,0.750769231,0.918461538,1.76,-0.638461538
193908,0.647692308,1.953076923,2.12,0.636923077,0.497692308,1.536153846,1.057692308,1.434615385,2.462307692,1.616923077
193909,0.859230769,1.792307692,1.794615385,0.271538462,0.306153846,1.705384615,1.496923077,1.451538462,2.53,1.590769231
193910,0.426923077,1.068461538,0.517692308,-0.080769231,-0.668461538,1.506153846,0.700769231,1.112307692,0.793076923,0.348461538
193911,0.862307692,1.459230769,0.934615385,-0.078461538,-0.056923077,1.676923077,0.962307692,1.291538462,1.559230769,0.686923077
193912,0.78,1.001538462,0.148461538,-0.620769231,-0.616923077,1.47,0.81,1.088461538,1.251538462,-0.003846154
194001,1,1.802307692,1.073076923,-0.062307692,-0.084615385,1.410769231,1.244615385,1.276153846,1.063076923,0.729230769
194002,0.937692308,1.55,0.960769231,0.160769231,-0.062307692,1.228461538,1.004615385,1.136153846,0.521538462,0.57
194003,1.514615385,2.864615385,2.216923077,0.813846154,0.976153846,1.423846154,1.732307692,1.445384615,1.466153846,1.660769231
194004,-0.141538462,0.806153846,0.61,-0.986923077,-0.413076923,0.125384615,-0.135384615,-0.263076923,-0.300769231,-0.045384615
194005,-0.148461538,0.866923077,0.346923077,-0.746923077,-0.818461538,0.368461538,-0.317692308,-0.307692308,0.531538462,-0.003076923
194006,0.006923077,1.843846154,1.170769231,-0.030769231,0.181538462,0.811538462,0.227692308,-0.432307692,0.810769231,0.843076923
194007,-0.368461538,1.06,0.37,-0.154615385,-0.643846154,0.283076923,-0.219230769,-0.845384615,-0.246923077,0.173076923
194008,0.392307692,1.837692308,1.210769231,-0.027692308,0.303076923,0.733076923,0.6,-0.073076923,0.046923077,1.129230769
194009,-0.084615385,0.316153846,-0.550769231,-1.509230769,-0.453076923,0.674615385,0.483846154,-0.847692308,0.063846154,-0.431538462
194010,-0.411538462,0.375384615,-0.467692308,-1.14,-0.600769231,0.486923077,-0.125384615,-1.003846154,-1.103076923,-0.316153846
194011,-0.333076923,0.346923077,0.084615385,-0.49,-0.408461538,0.569230769,0.085384615,-1.115384615,-0.853076923,0.090769231
194012,-0.616153846,-0.660769231,-0.766153846,-0.648461538,-0.883076923,0.186923077,-0.426923077,-1.573846154,-1.246153846,-0.216923077
194101,-0.937692308,-0.268461538,-0.566923077,-0.533076923,-0.586153846,0.024615385,-0.548461538,-1.796923077,-1.334615385,-0.036153846
194102,-0.966923077,-0.559230769,-0.715384615,-0.32,-0.515384615,0.081538462,-0.648461538,-1.774615385,-1.495384615,0.035384615
194103,-1.411538462,-1.663076923,-1.271538462,-0.344615385,-1.429230769,-0.496153846,-1.286923077,-2.322307692,-2.368461538,-0.508461538
194104,-1.653846154,-1.59,-1.048461538,0.061538462,-1.346923077,-0.490769231,-1.102307692,-2.41,-2.605384615,-0.520769231
194105,0.437692308,0.713076923,1.158461538,2.345384615,1.078461538,0.983846154,1.167692308,-0.261538462,-0.768461538,1.673076923
194106,0.449230769,0.350769231,1.382307692,2.76,0.985384615,0.283846154,0.839230769,-0.021538462,-1.699230769,1.593076923
194107,0.514615385,0.075384615,0.999230769,2.248461538,0.657692308,0.213846154,0.683846154,0.024615385,-1.863846154,1.348461538
194108,0.548461538,-0.174615385,0.584615385,2.088461538,0.343076923,0.260769231,0.493846154,0.184615385,-2.003076923,0.929230769
194109,-0.187692308,-1.032307692,-0.228461538,2.430769231,-0.759230769,-0.076153846,-0.161538462,-0.453846154,-2.579230769,0.423846154
194110,-0.321538462,-1.615384615,-0.650769231,2.186923077,-1.103076923,-0.51,-0.515384615,-0.448461538,-3.386923077,-0.102307692
194111,-0.549230769,-2.473846154,-0.476923077,1.266153846,-0.850769231,-1.217692308,-1.106153846,-0.430769231,-2.957692308,-0.507692308
194112,-0.396153846,-1.74,-0.736923077,0.963076923,-0.770769231,-1.48,-1.088461538,-0.643076923,-2.778461538,0.207692308
194201,-0.78,-0.634615385,-0.376923077,0.679230769,-0.763076923,-1.362307692,-0.956923077,-0.886153846,-2.800769231,0.189230769
194202,-1.226153846,-0.623076923,-0.647692308,0.098461538,-1.219230769,-1.722307692,-1.307692308,-0.951538462,-3.641538462,-0.477692308
194203,-1.584615385,-0.828461538,-1.06,-0.463846154,-1.523846154,-2.422307692,-1.853076923,-1.43,-3.648461538,-0.770769231
194204,-0.593076923,0.75,-0.487692308,-0.050769231,-0.24,-1.34,-0.547692308,0.101538462,-2.263076923,-0.156153846
194205,-0.212307692,0.854615385,-0.499230769,-0.130769231,0.144615385,-1.542307692,-0.526923077,0.432307692,-1.791538462,0.066923077
194206,-0.509230769,0.716153846,-0.785384615,-0.066923077,-0.543846154,-1.585384615,-0.537692308,0.038461538,-2.128461538,0.226923077
194207,-0.873076923,0.59,-1.229230769,-0.645384615,-0.626153846,-1.364615385,-0.770769231,-0.392307692,-2.476923077,-0.166153846
194208,-0.942307692,0.609230769,-0.929230769,-0.197692308,-0.286153846,-1.289230769,-0.901538462,-0.378461538,-1.87,0.078461538
194209,-0.732307692,0.738461538,-0.189230769,0.593076923,0.256153846,-0.832307692,-0.886923077,-0.044615385,-0.485384615,0.961538462
194210,0.017692308,1.341538462,0.123846154,0.494615385,1.189230769,-0.420769231,0.025384615,0.360769231,0.158461538,1.119230769
194211,0.623076923,2.251538462,0.636153846,0.83,1.818461538,-0.083846154,0.583076923,1.254615385,1.007692308,1.581538462
194212,1.63,3.561538462,1.113076923,2.176153846,2.536153846,0.867692308,1.871538462,1.566923077,2.713846154,2.536923077
194301,1.713076923,3.663846154,1.683846154,2.91,2.726923077,1.650769231,2.057692308,2.076923077,3.008461538,2.528461538
194302,2.471538462,3.656923077,2.330769231,3.896923077,3.486923077,1.742307692,2.873076923,2.839230769,3.556153846,3.446153846
194303,3.188461538,3.588461538,2.648461538,4.605384615,4.06,2.593846154,3.562307692,3.373076923,4.798461538,4.305384615
194304,4.008461538,4.430769231,3.414615385,5.317692308,4.82,3.508461538,4.590769231,4.11,5.411538462,4.888461538
194305,3.492307692,4.038461538,3.346923077,4.888461538,4.401538462,3.089230769,4.116923077,3.018461538,5.087692308,4.555384615
194306,3.075384615,3.156153846,2.553076923,4.328461538,3.486923077,3.246923077,3.679230769,2.548461538,4.919230769,4.003076923
194307,2.961538462,3.262307692,2.392307692,3.947692308,3.385384615,2.972307692,3.585384615,2.445384615,5.094615385,3.604615385
194308,3.067692308,3.213076923,2.493846154,3.783846154,3.727692308,2.892307692,3.62,2.567692308,5.330769231,3.586923077
194309,3.052307692,2.927692308,2.179230769,3.443846154,3.066923077,2.791538462,3.383846154,2.591538462,4.925384615,3.243846154
194310,2.353846154,2.070769231,1.166923077,2.170769231,2.09,2.181538462,2.99,1.971538462,3.115384615,1.945384615
194311,2.617692308,2.692307692,1.802307692,2.654615385,2.55,2.220769231,3.01,2.153076923,3.786153846,2.654615385
194312,2.56,2.140769231,1.546153846,2.125384615,2.126153846,2.26,2.86,1.506923077,3.425384615,2.655384615
194401,1.816153846,2.020769231,0.981538462,1.64,1.208461538,2.036923077,2.408461538,1.113846154,2.411538462,2.270769231
194402,1.755384615,1.804615385,0.753846154,1.175384615,1.236153846,1.416153846,2.346923077,1.023076923,1.94,1.749230769
194403,1.27,1.324615385,0.136153846,0.531538462,0.517692308,1.324615385,1.602307692,0.490769231,1.51,0.786153846
194404,1.600769231,1.892307692,0.673846154,0.839230769,0.706153846,1.222307692,1.848461538,0.82,1.414615385,0.946923077
194405,1.53,2.102307692,0.806923077,0.442307692,0.800769231,1.117692308,1.720769231,0.721538462,1.442307692,0.974615385
194406,1.345384615,1.35,0.59,0.257692308,0.474615385,0.914615385,1.284615385,0.587692308,1.135384615,0.973076923
194407,1.686153846,2.402307692,1.28,0.328461538,1.187692308,0.98,1.766923077,0.896923077,1.454615385,1.401538462
194408,1.596153846,2.181538462,1.270769231,0.137692308,1.1,0.930769231,1.618461538,0.91,1.195384615,1.301538462
